Month,"Sales, Number of 2013","Sales, Number of 2014","Sales, Number of 2015","Sales, Number of 2016","Sales, Number of 2017","Sales, Number of 2018"
Jan,670,772,639,657,619,735
Feb,792,835,774,646,656,709
Mar,905,895,816,759,728,687
Apr,849,831,729,727,671,645
May,809,914,755,718,831,702
Jun,891,636,830,766,847,753
Jul,958,778,893,831,831,807
Aug,938,845,769,806,820,783
Sep,692,652,578,706,719,585
Oct,771,735,671,603,883,674
Nov,674,640,593,666,722,676
Dec,656,658,664,655,663,614
